0.2200,3.017
0.2400,3.044
0.2600,2.905
0.2800,2.816
0.3000,2.774
0.3200,2.784
0.3400,2.790
0.3600,2.710
0.3800,2.615
0.4000,2.550
0.4200,2.508
0.4400,2.475
0.4600,2.451
0.4800,2.429
0.5000,2.416
0.5200,2.397
0.5400,2.384
0.5600,2.373
0.5800,2.363
0.6000,2.355
0.6200,2.348
0.6400,2.341
0.6600,2.335
0.6800,2.331
0.7000,2.327
0.7200,2.322
0.7400,2.319
0.7600,2.316
0.7800,2.313
0.8000,2.310
0.8200,2.308
0.8400,2.306
0.8600,2.304
0.8800,2.303
0.9000,2.301
0.9200,2.300
0.9400,2.299
0.9600,2.298
0.9800,2.298
1.0000,2.298
1.0200,2.298
1.0400,2.299
1.0600,2.299
1.0800,2.299
1.1000,2.299
1.1200,2.299
1.1400,2.299
1.1600,2.299
1.1800,2.298
1.2000,2.298
1.2200,2.297
1.2400,2.297
1.2600,2.296
1.2800,2.296
1.3000,2.295
1.3200,2.294
1.3400,2.293
1.3600,2.293
1.3800,2.292
1.4000,2.292
1.4200,2.292
1.4400,2.291
1.4600,2.291
1.4800,2.291
1.5000,2.290
1.5200,2.290
1.5400,2.289
1.5600,2.289
1.5800,2.289
1.6000,2.288
1.6200,2.288
1.6400,2.287
1.6600,2.286
1.6800,2.286
1.7000,2.286
1.7200,2.286
1.7400,2.286
1.7600,2.286
1.7800,2.286
1.8000,2.286
1.8200,2.286
1.8400,2.287
1.8600,2.287
1.8800,2.287
1.9000,2.287
1.9200,2.287
1.9400,2.287
1.9600,2.286
1.9800,2.286
2.0000,2.285
2.0200,2.285
2.0400,2.284
2.0600,2.284
2.0800,2.283
2.1000,2.281
2.1200,2.280
2.1400,2.280
2.1600,2.279
2.1800,2.278
2.2000,2.278
2.2200,2.277
2.2400,2.277
2.2600,2.276
2.2800,2.276
2.3000,2.275
2.3200,2.274
2.3400,2.273
2.3600,2.272
2.3800,2.271
2.4000,2.271
2.4200,2.270
2.4400,2.269
2.4600,2.268
2.4800,2.268
2.5000,2.268
2.5126,2.268
2.5253,2.268
2.5381,2.268
2.5510,2.268
2.5641,2.268
2.5773,2.268
2.5907,2.268
2.6042,2.268
2.6178,2.268
2.6316,2.268
2.6455,2.268
2.6596,2.268
2.6738,2.268
2.6882,2.267
2.7027,2.267
2.7174,2.267
2.7322,2.267
2.7473,2.266
2.7624,2.266
2.7778,2.266
2.7933,2.265
2.8090,2.265
2.8249,2.264
2.8409,2.264
2.8571,2.264
2.8736,2.263
2.8902,2.263
2.9070,2.263
2.9240,2.263
2.9412,2.263
2.9586,2.262
2.9762,2.262
2.9940,2.262
3.0120,2.262
3.0303,2.262
3.0488,2.261
3.0675,2.261
3.0864,2.261
3.1056,2.261
3.1250,2.261
3.1447,2.260
3.1646,2.260
3.1847,2.260
3.2051,2.260
3.2258,2.260
3.2468,2.260
3.2680,2.259
3.2895,2.259
3.3113,2.259
3.3333,2.259
3.3557,2.259
3.3784,2.259
3.4014,2.259
3.4247,2.258
3.4483,2.258
3.4722,2.258
3.4965,2.258
3.5211,2.258
3.5461,2.258
3.5714,2.258
3.5971,2.257
3.6232,2.257
3.6496,2.257
3.6765,2.257
3.7037,2.257
3.7313,2.257
3.7594,2.257
3.7879,2.256
3.8168,2.256
3.8462,2.256
3.8760,2.256
3.9063,2.256
3.9370,2.256
3.9683,2.255
4.0000,2.255
4.0323,2.255
4.0650,2.254
4.0984,2.254
4.1322,2.254
4.1667,2.253
4.2017,2.253
4.2373,2.252
4.2735,2.252
4.3103,2.252
4.3478,2.251
4.3860,2.251
4.4248,2.251
4.4643,2.250
4.5045,2.250
4.5455,2.250
4.5872,2.250
4.6296,2.250
4.6729,2.250
4.7170,2.249
4.7619,2.249
4.8077,2.249
4.8544,2.249
4.9020,2.248
4.9505,2.248
5.0000,2.248
5.0505,2.247
5.1020,2.247
5.1546,2.247
5.2083,2.246
5.2632,2.246
5.3191,2.246
5.3763,2.245
5.4348,2.244
5.4945,2.244
5.5556,2.243
5.6180,2.242
5.6818,2.242
5.7471,2.241
5.8140,2.240
5.8824,2.239
5.9524,2.239
6.0241,2.238
6.0976,2.237
6.1728,2.236
6.2500,2.236
6.3291,2.235
6.4103,2.235
6.4935,2.234
6.5789,2.234
6.6667,2.233
6.7568,2.232
6.8493,2.232
6.9444,2.231
7.0423,2.230
7.1429,2.229
7.2464,2.229
7.3529,2.228
7.4627,2.227
7.5758,2.226
7.6923,2.225
7.8125,2.224
7.9365,2.223
8.0645,2.221
8.1967,2.220
8.3333,2.219
8.4746,2.217
8.6207,2.216
8.7719,2.214
8.9286,2.213
9.0909,2.211
9.2593,2.209
9.4340,2.207
9.6154,2.204
9.8039,2.201
10.0000,2.199
10.2041,2.196
10.4167,2.192
10.6383,2.189
10.8696,2.185
11.1111,2.180
11.3536,2.176
11.6279,2.172
11.9048,2.167
12.1951,2.161
12.5000,2.155
12.8205,2.149
13.1579,2.141
13.5135,2.133
13.8889,2.125
14.2857,2.116
14.7059,2.107
15.1515,2.097
15.6250,2.086
16.1290,2.074
16.6667,2.059
17.2414,2.042
17.8571,2.021
18.5185,1.995
19.2308,1.960
20.0000,1.923
20.8333,1.883
21.7391,1.828
22.7273,1.751
23.8095,1.648
25.0000,1.507
26.3158,1.296
27.7778,0.865
29.4118,0.093
31.2500,0.107
33.3333,0.702
35.7143,2.653
38.4615,6.369
41.6667,4.347
45.4545,3.709
50.0000,3.465
55.5556,3.324
62.5000,3.223
71.4286,3.150
83.3333,3.097
100.0000,3.058
125.0000,3.029
166.6667,3.008
